Filename                                                                                                                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-array.cpp                                      174               174     0.00%           5                 5     0.00%         301               301     0.00%          95                95     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-arraybuffer-prototype.cpp                       16                16     0.00%           2                 2     0.00%          28                28     0.00%          10                10     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-arraybuffer.cpp                                 11                11     0.00%           4                 4     0.00%          15                15     0.00%           2                 2     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-async-from-sync-iterator-prototype.cpp          75                75     0.00%           4                 4     0.00%         147               147     0.00%          40                40     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-async-function.cpp                               5                 5     0.00%           2                 2     0.00%           7                 7     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-async-generator-function.cpp                     5                 5     0.00%           2                 2     0.00%           9                 9     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-async-generator-prototype.cpp                   19                19     0.00%           1                 1     0.00%          39                39     0.00%          10                10     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-async-iterator-prototype.cpp                     9                 9     0.00%           2                 2     0.00%          17                17     0.00%           4                 4     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-boolean-prototype.cpp                           33                33     0.00%           2                 2     0.00%          36                36     0.00%          15                15     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-boolean.cpp                                     14                14     0.00%           2                 2     0.00%          24                24     0.00%           6                 6     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-error-prototype.cpp                             33                33     0.00%           3                 3     0.00%          62                62     0.00%          18                18     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-error.cpp                                       13                13     0.00%           2                 2     0.00%          19                19     0.00%           4                 4     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-function-prototype.cpp                         138               138     0.00%           7                 7     0.00%         200               200     0.00%          74                74     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-function.cpp                                     5                 5     0.00%           2                 2     0.00%           7                 7     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-generator-function.cpp                           5                 5     0.00%           2                 2     0.00%           7                 7     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-generator-prototype.cpp                         71                71     0.00%           2                 2     0.00%         125               125     0.00%          41                41     0.00%
